Shipping_Days,Sales,Quantity,Profit,Discount,Region,State,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name,Manufacturer,Returned,Return Reason,Notes
6,464,4,-559.356,0.7,East,Pennsylvania,1682,CA-2015-122882,9/7/2015,9/13/2015,Standard Class,SB-20290,Sean Braxton,Corporate,United States,Philadelphia,19134,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,,No,,
3,120,2,-0.99,0.7,East,Pennsylvania,1686,CA-2018-149489,4/24/2018,4/27/2018,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Philadelphia,19143,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,,No,,
3,238,2,-5.7638,0.7,East,Pennsylvania,1687,CA-2018-149489,4/24/2018,4/27/2018,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Philadelphia,19143,OFF-BI-10002414,Office Supplies,Binders,GBC ProClick Spines for 32-Hole Punch,,No,,
4,357,2,-9.288,0.7,East,Pennsylvania,1706,CA-2016-100545,11/22/2016,11/26/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Philadelphia,19120,OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,,No,,
4,45,1,-4.2987,0.7,East,Pennsylvania,1803,CA-2018-158379,9/22/2018,9/26/2018,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Philadelphia,19134,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,,No,,
4,35,4,-3.7996,0.7,East,Pennsylvania,1992,CA-2018-111374,2/24/2018,2/28/2018,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Philadelphia,19134,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",,No,,
2,90,3,-2.0016,0.7,East,Pennsylvania,2050,CA-2016-142237,7/11/2016,7/13/2016,First Class,CK-12595,Clytie Kelty,Consumer,United States,Philadelphia,19134,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,,No,,
2,480,4,-4.752,0.7,East,Pennsylvania,2051,CA-2016-142237,7/11/2016,7/13/2016,First Class,CK-12595,Clytie Kelty,Consumer,United States,Philadelphia,19134,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,,No,,
2,1071,1,-1.294,0.7,East,Pennsylvania,2071,CA-2017-146521,7/21/2017,7/23/2017,Second Class,CC-12610,Corey Catlett,Corporate,United States,Philadelphia,19134,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,,No,,
4,177,3,-122.3928,0.7,East,Pennsylvania,2134,CA-2016-122210,11/30/2016,12/4/2016,Standard Class,WB-21850,William Brown,Consumer,United States,Philadelphia,19134,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,No,,
4,38.08,4,-27.9312,0.7,East,Pennsylvania,2147,US-2017-152051,6/25/2017,6/29/2017,Standard Class,TS-21160,Theresa Swint,Corporate,United States,York,17403,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,,No,,
4,13.71,5,-10.054,0.7,East,Ohio,2363,CA-2018-136497,4/16/2018,4/20/2018,Standard Class,RF-19840,Roy Französisch,Consumer,United States,Columbus,43229,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,,No,,
2,76.77,4,-58.8616,0.7,East,Ohio,2377,US-2015-164616,8/19/2015,8/21/2015,Second Class,MS-17770,Maxwell Schwartz,Consumer,United States,Columbus,43229,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,,No,,
5,13.02,1,-10.4184,0.7,East,Ohio,2425,US-2018-147669,12/25/2018,12/30/2018,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Fairfield,45014,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,,No,,
2,652.99,7,-935.9595,0.7,East,Ohio,2629,US-2018-165344,11/13/2018,11/15/2018,First Class,SB-20290,Sean Braxton,Corporate,United States,Springfield,45503,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,,No,,
2,11.22,10,-7.48,0.7,East,Ohio,2630,US-2018-165344,11/13/2018,11/15/2018,First Class,SB-20290,Sean Braxton,Corporate,United States,Springfield,45503,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,,No,,
4,5.34,3,-4.455,0.7,East,Pennsylvania,2691,CA-2018-156412,12/4/2018,12/8/2018,Standard Class,CM-12160,Charles McCrossin,Consumer,United States,Philadelphia,19134,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,,No,,
2,1.64,1,-1.3128,0.7,East,Ohio,2728,CA-2018-119193,12/22/2018,12/24/2018,First Class,SK-19990,Sally Knutson,Consumer,United States,Toledo,43615,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,,No,,
6,10.33,3,-7.5768,0.7,East,Pennsylvania,2764,CA-2018-165757,6/22/2018,6/28/2018,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Philadelphia,19140,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,,No,,
6,31.15,5,-23.8855,0.7,East,Pennsylvania,2765,CA-2018-165757,6/22/2018,6/28/2018,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Philadelphia,19140,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,,No,,
5,2.31,1,-1.9275,0.7,East,Ohio,2958,CA-2018-168900,5/4/2018,5/9/2018,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,Springfield,45503,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,No,,
4,206.99,3,-172.4925,0.7,East,Pennsylvania,3000,CA-2015-138317,6/21/2015,6/25/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Philadelphia,19120,TEC-MA-10004521,Technology,Machines,Epson Perfection V600 Photo Scanner,,No,,
4,9.00,2,-7.2048,0.7,East,Pennsylvania,3002,CA-2015-138317,6/21/2015,6/25/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Philadelphia,19120,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",,No,,
4,12.95,7,-9.5018,0.7,East,Ohio,3104,CA-2017-124562,12/8/2017,12/12/2017,Standard Class,JP-16135,Julie Prescott,Home Office,United States,Columbus,43229,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",,No,,
3,1799.99,2,-2639.9912,0.7,East,Ohio,3152,CA-2016-147830,12/15/2016,12/18/2016,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,43055,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,,No,,
5,63.92,7,-46.8776,0.7,East,Ohio,3285,CA-2015-103702,9/12/2015,9/17/2015,Standard Class,AF-10885,Art Foster,Consumer,United States,Fairfield,45014,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",,No,,
4,50.99,1,-40.7976,0.7,East,Pennsylvania,3300,US-2015-159926,11/18/2015,11/22/2015,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Philadelphia,19140,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,No,,
4,1.94,3,-1.4256,0.7,East,Pennsylvania,3304,US-2015-159926,11/18/2015,11/22/2015,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Philadelphia,19140,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,,No,,
4,7.48,8,-5.2416,0.7,East,Ohio,3408,US-2015-150119,4/23/2015,4/27/2015,Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,43229,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,,No,,
2,3.44,2,-2.7552,0.7,East,Pennsylvania,3459,CA-2018-136448,9/16/2018,9/18/2018,First Class,AS-10090,Adam Shillingsburg,Consumer,United States,Philadelphia,19143,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,,No,,
2,538.19,2,-412.6154,0.7,East,Pennsylvania,3460,CA-2018-136448,9/16/2018,9/18/2018,First Class,AS-10090,Adam Shillingsburg,Consumer,United States,Philadelphia,19143,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,,No,,
3,7.47,1,-5.9808,0.7,East,Pennsylvania,3554,CA-2018-107832,11/23/2018,11/26/2018,Second Class,FH-14275,Frank Hawley,Corporate,United States,Philadelphia,19120,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,,No,,
5,25.55,5,-20.448,0.7,East,Ohio,3562,CA-2018-109757,9/4/2018,9/9/2018,Second Class,MD-17350,Maribeth Dona,Consumer,United States,Akron,44312,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,,No,,
5,4.36,2,-3.0576,0.7,East,Ohio,3563,CA-2018-109757,9/4/2018,9/9/2018,Second Class,MD-17350,Maribeth Dona,Consumer,United States,Akron,44312,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,,No,,
6,22.42,3,-17.9424,0.7,East,Ohio,3594,CA-2017-164154,9/11/2017,9/17/2017,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Toledo,43615,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,,No,,
4,9.55,5,-7.3255,0.7,East,Pennsylvania,3617,CA-2017-154536,9/5/2017,9/9/2017,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,Philadelphia,19120,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,No,,
4,69.88,7,-46.592,0.7,East,Ohio,3642,CA-2017-145177,11/10/2017,11/14/2017,Standard Class,PP-18955,Paul Prost,Home Office,United States,Springfield,45503,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,,No,,
6,121.10,6,-100.92,0.7,East,Ohio,3674,CA-2017-104969,4/8/2017,4/14/2017,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Troy,45373,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,,No,,
4,3.13,2,-2.61,0.7,East,Ohio,3786,CA-2018-112487,12/26/2018,12/30/2018,Standard Class,TC-21535,Tracy Collins,Home Office,United States,Columbus,43229,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,,No,,
1,4.41,3,-3.3879,0.7,East,Pennsylvania,3792,CA-2016-111325,2/27/2016,2/28/2016,First Class,BT-11395,Bill Tyler,Corporate,United States,Altoona,16602,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,No,,
5,10.42,4,-6.952,0.7,East,Pennsylvania,3906,CA-2016-167010,4/5/2016,4/10/2016,Standard Class,VT-21700,Valerie Takahito,Home Office,United States,Philadelphia,19143,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,,No,,
0,18.69,3,-14.3313,0.7,East,Ohio,4035,US-2017-108777,12/12/2017,12/12/2017,Same Day,JM-15655,Jim Mitchum,Corporate,United States,Lorain,44052,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,,No,,
4,26.06,6,-19.9824,0.7,East,Pennsylvania,4158,CA-2016-101091,12/5/2016,12/9/2016,Second Class,SW-20245,Scot Wooten,Consumer,United States,Philadelphia,19140,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",,No,,
5,18.19,4,-14.5536,0.7,East,Pennsylvania,4199,US-2017-161683,12/3/2017,12/8/2017,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Philadelphia,19134,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",,No,,
5,11.67,3,-7.782,0.7,East,Pennsylvania,4264,CA-2018-110429,11/3/2018,11/8/2018,Standard Class,DM-13015,Darrin Martin,Consumer,United States,Philadelphia,19143,OFF-BI-10000216,Office Supplies,Binders,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",,No,,
5,14.95,2,-11.9616,0.7,East,Ohio,4322,US-2016-147662,2/14/2016,2/19/2016,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,44312,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,,No,,
5,2.28,2,-1.6764,0.7,East,Ohio,4324,US-2016-147662,2/14/2016,2/19/2016,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,44312,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,,No,,
0,27.35,3,-21.888,0.7,East,Ohio,4396,CA-2015-142965,7/20/2015,7/20/2015,Same Day,SW-20245,Scot Wooten,Consumer,United States,Springfield,45503,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,,No,,
7,5.48,4,-4.0216,0.7,East,Ohio,4420,CA-2015-139633,12/17/2015,12/24/2015,Standard Class,EC-14050,Erin Creighton,Consumer,United States,Columbus,43229,OFF-BI-10002954,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,,No,,
7,631.17,4,-462.8624,0.7,East,Pennsylvania,4498,CA-2018-155075,12/2/2018,12/9/2018,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Philadelphia,19140,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,,No,,
5,3.48,2,-2.7888,0.7,East,Pennsylvania,4686,CA-2017-159912,8/29/2017,9/3/2017,Standard Class,GB-14530,George Bell,Corporate,United States,Philadelphia,19120,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,,No,,
4,5.71,5,-4.7625,0.7,East,Pennsylvania,4689,US-2018-154851,3/30/2018,4/3/2018,Standard Class,BP-11155,Becky Pak,Consumer,United States,Lancaster,17602,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,No,,
0,0.85,1,-0.5964,0.7,East,Pennsylvania,4712,CA-2015-112403,3/31/2015,3/31/2015,Same Day,JO-15280,Jas O'Carroll,Consumer,United States,Philadelphia,19120,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,,No,,
4,1.90,2,-1.5264,0.7,East,Pennsylvania,4757,CA-2018-169817,9/21/2018,9/25/2018,Standard Class,EB-13870,Emily Burns,Consumer,United States,Philadelphia,19143,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,,No,,
5,30.34,7,-24.276,0.7,East,Ohio,4824,CA-2017-140018,11/21/2017,11/26/2017,Standard Class,CK-12205,Chloris Kastensmidt,Consumer,United States,Columbus,43229,TEC-MA-10000752,Technology,Machines,Texas Instrument TI-15 Fraction Calculator,,No,,
2,3.79,2,-2.6586,0.7,East,Ohio,4838,CA-2018-106831,6/1/2018,6/3/2018,First Class,FH-14350,Fred Harton,Consumer,United States,Dublin,43017,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",,No,,
5,5.55,3,-4.0722,0.7,East,Ohio,4842,CA-2017-136049,12/23/2017,12/28/2017,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Bowling Green,43402,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",,No,,
5,11.80,8,-8.6592,0.7,East,Ohio,4908,CA-2015-133809,11/18/2015,11/23/2015,Second Class,MS-17530,MaryBeth Skach,Consumer,United States,Fairfield,45014,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,,No,,
7,9.52,1,-6.9828,0.7,East,Pennsylvania,5009,CA-2016-102876,9/7/2016,9/14/2016,Standard Class,LR-17035,Lisa Ryan,Corporate,United States,Philadelphia,19134,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,,No,,
7,4.92,3,-3.9384,0.7,East,Pennsylvania,5011,CA-2016-102876,9/7/2016,9/14/2016,Standard Class,LR-17035,Lisa Ryan,Corporate,United States,Philadelphia,19134,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,,No,,
5,33.93,3,-22.62,0.7,East,Ohio,5013,US-2018-160465,7/21/2018,7/26/2018,Standard Class,SW-20350,Sean Wendt,Home Office,United States,Cleveland,44105,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,,No,,
4,99.84,9,-83.205,0.7,East,Pennsylvania,5059,CA-2017-120796,4/3/2017,4/7/2017,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Philadelphia,19140,OFF-BI-10004330,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",,No,,
4,2.55,3,-1.7892,0.7,East,Pennsylvania,5089,CA-2016-109001,3/5/2016,3/9/2016,Standard Class,KN-16390,Katherine Nockton,Corporate,United States,Philadelphia,19120,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,,No,,
